Title,Estado,Edad,Tematica,Inicio_evento,Fin_evento,Lugar,Created
9446,confirmado,5,sirenita,2024-06-08T19:00:00Z,2024-06-08T22:30:00Z,SUM,2024-04-09T17:03:32Z
9447,confirmado,1,Cumpleaños honguitos,2024-05-17T19:30:00Z,2024-05-17T22:00:00Z,Salón,2024-04-09T17:48:02Z
9440,confirmado,2,Sirenita,2024-05-19T15:30:00Z,2024-05-19T21:00:00Z,SUM,2024-04-09T22:06:36Z
9448,confirmado,1,Safari,2024-06-02T21:00:00Z,2024-06-03T01:00:00Z,Salón,2024-04-09T22:10:33Z
9450,completado,3,Bichikids o Buscando a Nemo o Pantera Rosa,2024-06-29T15:00:00Z,2024-06-29T20:00:00Z,Quinta,2024-04-10T00:03:56Z
9451,confirmado,8,Pusheen,2024-09-02T20:00:00Z,2024-09-02T22:30:00Z,Salón,2024-04-10T14:42:08Z
9453,confirmado,1,"Granja (la granja de Oli, foto enviada)",2024-05-12T15:58:00Z,2024-05-12T03:00:00Z,Salón,2024-04-10T16:13:52Z
9455,confirmado,0,unicornio ,2024-05-17T20:00:00Z,2024-05-18T00:00:00Z,SUM,2024-04-11T13:34:50Z
9463,confirmado,3,frozen ,2024-05-23T20:00:00Z,2024-05-23T23:00:00Z,Salón,2024-04-11T13:40:02Z
9464,finalizado,0,Osos,2024-05-26T16:01:00Z,2024-05-26T03:00:00Z,Salón,2024-04-11T17:45:17Z
9459,confirmado,5,Hot wheels,2024-05-26T20:00:00Z,2024-05-26T23:00:00Z,Salón,2024-04-11T20:23:39Z
9465,confirmado,2,Toy story,2024-08-17T15:00:00Z,2024-08-17T20:00:00Z,Quinta,2024-04-11T22:24:37Z
9466,confirmado,1,Cumpleaños,2024-08-10T20:00:00Z,2024-08-10T03:00:00Z,Salón,2024-04-12T02:17:31Z
9467,finalizado,2,Frozen,2024-05-12T18:00:00Z,2024-05-12T22:00:00Z,Casa,2024-04-12T14:29:34Z
9469,confirmado,1,panda,2024-06-02T20:00:00Z,2024-06-03T00:00:00Z,Salón,2024-04-12T19:28:14Z
9470,confirmado,1,Granja de zenon,2024-08-24T23:00:00Z,2024-08-24T03:00:00Z,Casa,2024-04-12T20:29:56Z
9472,confirmado,2,Encanto,2024-06-09T15:00:00Z,2024-06-09T19:00:00Z,SUM,2024-04-13T12:32:11Z
9473,confirmado,7,Caramelos chupetines helados y donas,2024-06-15T20:00:00Z,2024-06-15T22:30:00Z,Salón,2024-04-13T18:37:48Z
9474,confirmado,1,Alicia en el pais de las maravillas,2024-06-15T18:00:00Z,2024-06-15T23:00:00Z,Casa,2024-04-13T23:37:22Z
9476,confirmado,1,Animales,2024-08-31T21:30:00Z,2024-09-01T01:30:00Z,Salón,2024-04-14T19:04:59Z
9478,confirmado,1,Selva safari,2024-11-10T16:00:00Z,2024-11-10T21:00:00Z,Salón,2024-04-15T00:45:50Z
9477,completado,1,safari,2024-06-29T21:30:00Z,2024-06-30T01:30:00Z,Salón,2024-04-15T00:46:40Z
9479,finalizado,1,Oso,2024-06-09T16:00:00Z,2024-06-09T19:00:00Z,Salón,2024-04-15T12:42:51Z
9485,confirmado,1,safari,2024-05-19T15:00:00Z,2024-05-19T19:00:00Z,SUM,2024-04-15T22:54:34Z
9488,confirmado,11,tini,2024-05-25T15:00:00Z,2024-05-25T03:00:00Z,SUM,2024-04-16T12:51:44Z
9489,confirmado,4,chucky,2024-05-12T14:30:00Z,2024-05-12T18:30:00Z,Salón,2024-04-16T12:55:47Z
9491,confirmado,3,Mickey y Minnie,2024-08-03T16:00:00Z,2024-08-03T19:00:00Z,Salón,2024-04-16T17:37:09Z
9492,confirmado,1,coneja,2024-06-02T16:00:00Z,2024-06-02T19:30:00Z,Salón,2024-04-16T17:37:14Z
9493,confirmado,1,Toy Story colores pasteles,2024-08-10T17:00:00Z,2024-08-10T03:00:00Z,SUM,2024-04-16T17:40:54Z
9486,finalizado,4,Batman/mujer maravilla/spiderman/iron man,2024-06-01T18:00:00Z,2024-06-01T21:00:00Z,Casa,2024-04-16T21:13:46Z
9495,confirmado,5,coco,2024-05-30T20:00:00Z,2024-05-30T03:00:00Z,Casa,2024-04-17T13:42:20Z
9498,finalizado,1,Bluey,2024-06-17T16:00:00Z,2024-06-17T21:00:00Z,Salón,2024-04-17T16:47:59Z
9500,confirmado,1,Winny poo bebe y sus amigos,2024-06-09T16:26:00Z,2024-06-09T22:00:00Z,Salón,2024-04-17T18:28:45Z
9501,finalizado,5,Cenicienta,2024-06-17T15:00:00Z,2024-06-17T18:00:00Z,Salón,2024-04-17T18:39:11Z
9499,confirmado,6,bebe llorones,2024-05-12T17:41:00Z,2024-05-12T03:00:00Z,Casa,2024-04-18T12:46:35Z
9507,finalizado,0,cars,2024-05-18T19:00:00Z,2024-05-18T03:00:00Z,Salón,2024-04-18T15:11:33Z
9508,confirmado,6,BARBIE ,2024-06-24T20:30:00Z,2024-06-24T03:00:00Z,Salón,2024-04-18T15:23:16Z
9511,finalizado,1,La granja de zenon,2024-06-02T16:00:00Z,2024-06-02T03:00:00Z,Salón,2024-04-18T16:43:21Z
9518,confirmado,1,SAFARI MINI PARA NENA,2024-09-07T16:00:00Z,2024-09-07T20:30:00Z,Quinta,2024-04-18T17:00:34Z
9529,finalizado,5,lol,2024-06-04T20:00:00Z,2024-06-04T03:00:00Z,Salón,2024-04-18T17:27:52Z
